traceID,timestamp,TML Before Sanitization,TML After Sanitization,Formula Info,dropped/not,tokens dropped
13116a505c8097cf,1735624139533929.0,[[city] [state] [latitude]],[[latitude] [city] [state]],,0,NA
4b93df867ff701f2,1735623185790891.0,[[percentage of Total Acquisition Cost INT over Gross Written Premium int] [Inception Date (Insurance Data)] = '2020' [Inception Date (Insurance Data)] = '2019' by [Brokerage Percentage (Insurance Data)]],[[percentage of total acquisition cost int over gross written premium int] by [Brokerage Percentage (Insurance Data)] [Inception Date (Insurance Data)] = '2020' [Inception Date (Insurance Data)] = '2019'],"[{'name': 'Total Acquisition Cost INT by Brokerage Percentage', 'expression': 'group_aggregate ( sum ( Total Acquisition Cost INT ) , query_groups ( ) , query_filters ( ) )'}, {'name': 'Gross Written Premium int by Brokerage Percentage', 'expression': 'group_aggregate ( sum ( Gross Written Premium int ) , query_groups ( ) , query_filters ( ) )'}, {'name': 'percentage of Total Acquisition Cost INT over Gross Written Premium int', 'expression': 'Total Acquisition Cost INT by Brokerage Percentage / Gross Written Premium int by Brokerage Percentage * 100'}]",0,NA
4f169b27bf44fed3,1735624559869488.0,[[ユニーク法人no] [baitai_name] [a_hrog_syoku_l]],[[ユニーク法人no] [a_hrog_syoku_l] [baitai_name]],"[{'name': 'get_day2', 'expression': ""to_date ( get_days , \\'%y-%m-%d\\' )""}, {'name': '\\343\\203\\246\\343\\203\\213\\343\\203\\274\\343\\202\\257\\346\\263\\225\\344\\272\\272no', 'expression': 'unique count ( a_company_no )'}]",0,NA
5408df16dd75b497,1735622724392263.0,[[store] sort by [sales] descending],[[store] sort by [sales] descending],,0,NA
547aa9af1456bd30,1735619894101000.0,[[Evoucher cost] [Fill Month] = 'last 2 years'],[[Evoucher cost] [Fill Month] = 'last 2 years'],,0,NA
5c03b9e807e6313f,1735623478678963.0,[[Total Acquisition Cost INT]],[[Total Acquisition Cost INT]],,0,NA
5d48b7799eb2afa4,1735624533469499.0,[[a_hrog_syoku_l] [baitai_name] [ユニーク法人NO]],[[ユニーク法人no] [baitai_name] [a_hrog_syoku_l]],"[{'name': 'Get_day2', 'expression': ""to_date ( get_days , \\'%Y-%m-%d\\' )""}, {'name': '\\343\\203\\246\\343\\203\\213\\343\\203\\274\\343\\202\\257\\346\\263\\225\\344\\272\\272NO', 'expression': 'unique count ( a_company_no )'}]",0,NA
a22f49c0e5e4b384,1735624256781878.0,[[city] [state] [latitude]],[[latitude] [city] [state]],,0,NA
af0197373541cf66,1735615998784000.0,[[Org Type Description] [Portal Account Id] = 'Real estate advance'],[[Org Type Description] [Portal Account Id] = 'real estate advance'],,0,NA
e83d4c4ee756aaaa,1735616028911000.0,[[Org Type Description] [Portal Account Id] = 'real estate advance'],[[Org Type Description] [Portal Account Id] = 'real estate advance'],,0,NA
ed91a6cbd78ab1c3,1735615732507000.0,[average [Entity Active Count] by [Enhanced Entity Type] [Final Transaction Timestamp].monthly [Final Transaction Timestamp].quarterly [Enhanced Entity Type] = 'real estate advance'],[average [Entity Active Count] [Final Transaction Timestamp].monthly [Final Transaction Timestamp].quarterly by [Enhanced Entity Type] [Enhanced Entity Type] = 'real estate advance'],,0,NA
